epoch,train_loss,val_nmse_db,lr,seconds
0,-12.936277357810882,-5.3818227219893435,0.000985470908713026,1494.7
1,-13.848516596906011,-5.830099048423137,0.000942728012826605,921.1
2,-14.08850186566754,-5.96990276737065,0.0008742553740855506,992.0
3,-14.254006048812949,-6.101266634469268,0.0007840323733655781,999.0
4,-14.37876066341426,-6.186800253066112,0.0006773024435212678,992.7
5,-14.484409578333892,-6.248585836308238,0.0005602683401276615,994.7
6,-14.569284724807737,-6.3132991004140795,0.00043973165987233864,983.7
7,-14.661941385334163,-6.363833625085158,0.00032269755647873233,967.0
8,-14.750941143114018,-6.421320672767212,0.00021596762663442218,933.3
9,-14.829953910920693,-6.449230054174382,0.00012574462591444943,837.5
10,-14.890418726258547,-6.467440199203076,5.727198717339522e-05,819.8
